product_name,brands,categories,quantity,serving_size,energy_100g,fat_100g,sugars_100g,proteins_100g,nutrition_grade_fr,countries,last_modified_datetime,code,packaging
Organic Oat Milk,PureEats,snacks,100 grams,100,unknown,-,,15.2,a,,01-15-2024,4875862324900,
Organic Oat Milk,OrganicLife,,100ml,0.1 kg,861.9196342640353,4.6,12.3g,24.2,,,"Jan 15, 2024",2384605262099,Cardboard
Apple Cider,HealthyChoice,snacks,100,100 g,,49.3,52.0,13.6,A,FR,January 15 2024,5697277634980,plastic
Cheddar Cheese,PureEats,Dairy,2 tbsp,1 cup,833.5981498628838,11.0,46.1,,A,Germany,2024/01/15,6535001295567,Glass
Frozen Pizza,organic life,,100 grams,0.1 kg,unknown,37.4,35.0,29.9,c,,,3689120466741,PLASTIC
Protein Bar,,,,2 tbsp,874.2597560761202,0.6,40.9,8.0,A,france,2024/01/15,1057783303331,Cardboard
Cheddar Cheese,FreshFarm,BEVERAGES,about 100g,,146.02694900917498,27.0,31.8,,,France,"Jan 15, 2024",5210388713215,Plastic
Peanut Butter,FreshFarm,,100 g,,124.26840340478888,27.5,52.3,6.4,,United States,2024/01/15,8706775157873,
Brown Rice,NatureCo,snacks,,3.5 oz,,45.3,4.3,20.1,d,,15/01/2024,9317531495235,Glass
Protein Bar,FreshFarm,,100ml,1 cup,778.8147060489468,,12.3g,3.3,d,United States,,4227332407137,Cardboard
Greek Yogurt,  freshfarm,Beverages,100g,about 100g,754.0645507211572,46.3,10.0,6.4,B,France,15/01/2024,7871884575560,Cardboard
Green Tea,  freshfarm,,100 grams,3.5 oz,872.1513348225513,27.1,3.4,15.1,,FR,2024-01-15,2203388955030,plastic
Brown Rice,NATURECO,snacks,,,,29.2,56.1,21.5,d,us,15 Jan 2024,6276992244264,
Protein Bar,FreshFarm,,100ml,1 cup,778.8147060489468,,12.3g,3.3,d,United States,,4227332407137,Cardboard
Cheddar Cheese,PureEats,Dairy,2 tbsp,1 cup,833.5981498628838,11.0,46.1,,A,Germany,2024/01/15,6535001295567,Glass
Orange Juice,PureEats,dairy products,0.1 kg,100 grams,493.46398641281223,49.2,31.7,16.6,b,FR,2024/01/15,3733975277719,Cardboard
Almond Butter,organic life,BEVERAGES,,2 tbsp,818.261551134529,-,2.6,3.9,e,FR,,2967136552614,plastic
Orange Juice,NATURECO,Dairy,1 cup,100 grams,N/A,39.8,53.9,7.5,b,USA,,5165817118389,PLASTIC
CHEDDAR CHEESE,HealthyChoice,,about 100g,100,247.4570815390801,5.4,51.5,24.5,,USA,2024/01/15,5006651823819,Glass
,FreshFarm,BEVERAGES,100ml,about 100g,614.7711253406346,16.6,12.3g,28.9,e,France,"Jan 15, 2024",6518115691363,
Coconut Water,PureEats,BEVERAGES,100g,100,472.72911022426104,34.3,44.2,12.9,A,USA,"Jan 15, 2024",9921936948112,Cardboard
Olive Oil,OrganicLife,snacks,1 cup,about 100g,612.8129712927323,30.8,32.9,,d,Germany,2024-13-45,9179001781498,
Almond Butter,OrganicLife,Beverages,0.1 kg,,561.1421167725142,,13.5,0.7,d,,2024-13-45,9010426801904,
Peanut Butter,,,3.5 oz,100 grams,14.934888142848266,38.5,25.5,28.7,,,2024-01-15,9027815107446,PLASTIC
Coconut Water,,,,2 tbsp,671.8533435220305,13.0,38.3,15.6,d,us,,5124395797233,Cardboard
Dark Chocolate,,Dairy,100,3.5 oz,-1,23.3,,23.1,a,Germany,,,cardboard box
Frozen Pizza,,snacks,2 tbsp,3.5 oz,442.2213744806653,33.4,43.5,27.6,unknown,,2024-01-15,1479588932135,plastic
Orange Juice,GreenValley,,100ml,3.5 oz,310.3754877857449,13.9,25.3,14.1,,France,January 15 2024,4505755387233,Plastic
Brown Rice,NATURECO,snacks,2 tbsp,100,338.31670514741785,48.2,46.7,9.3,unknown,France,2024/01/15,7976638819817,Glass
Brown Rice,organic life,Beverages,,100g,391.25643177892255,25.3,51.0,3.2,A,,15/01/2024,9179694337567,
Peanut Butter,FreshFarm,BEVERAGES,2 tbsp,3.5 oz,517.1661837637068,16.8,19.5,10.6,e,USA,2024/01/15,4362736323263,plastic
Protein Bar,,,2 tbsp,100g,,12.2,22.1,10.3,,USA,January 15 2024,6391347533666,Cardboard
Almond Butter,OrganicLife,snacks,3.5 oz,100,654.8806509728159,26.2,6.0,6.8,c,us,2024-01-15,5823791943084,Plastic
Dark Chocolate,organic life,,100 g,100g,427.76328098815407,9.2,,2.0,,france,2024-13-45,3667404940033,PLASTIC
Granola Cereal,  freshfarm,,,,210.86155198788083,22.5,51.6,9.2,unknown,France,2024-13-45,4658293099819,Glass
Greek Yogurt,FreshFarm,Dairy,100g,1 cup,538.4919636564113,11.6,42.2,20.6,e,United States,15 Jan 2024,2254741350632,Plastic
Granola Cereal,GreenValley,,100 g,2 tbsp,632.7629796283884,25.0,4.8,,A,us,2024-01-15,1364860848852,Cardboard
Cheddar Cheese,GreenValley,Dairy,,1 cup,447.6359639500019,trace,19.3,4.8,B,,2024/01/15,8997386718143,plastic
Olive Oil,  freshfarm,Snacks,about 100g,,58.24163598528846,31.1,26.5,,,FR,2024/01/15,9528509043604,plastic
,OrganicLife,BEVERAGES,,100g,92.95618914055507,45.6,7.0,15.0,e,,2024/01/15,5288405529931,
Frozen Pizza,OrganicLife,Beverages,0.1 kg,1 cup,711.0684911302218,0.1,50.2,19.8,c,,,9011734111895,cardboard box
Brown Rice,,Snacks,100ml,100,822.952849359467,49.4,39.1,28.9,c,,2024-13-45,8747455451376,plastic
Protein Bar,FreshFarm,,100ml,1 cup,778.8147060489468,,12.3g,3.3,d,United States,,4227332407137,Cardboard
Almond Butter,organic life,BEVERAGES,,2 tbsp,818.261551134529,-,2.6,3.9,e,FR,,2967136552614,plastic
Frozen Pizza,organic life,,100ml,about 100g,685.8676103075836,1.8,12.3g,22.4,B,france,"Jan 15, 2024",6268610617194,Plastic
,HealthyChoice,,100 grams,3.5 oz,513.6759751051837,8.5,,7.2,unknown,FR,01-15-2024,9084219275445,Cardboard
Green Tea,OrganicLife,Beverages,2 tbsp,100ml,276.2472817201573,34.5,18.1,25.6,b,United States,15 Jan 2024,6203674193917,Cardboard
,NatureCo,Snacks,,100,814.6982088954156,39.9,21.1,18.6,c,france,2024-01-15,1586008873464,cardboard box
Greek Yogurt,,Dairy,3.5 oz,100 grams,790.0499310689102,25.1,9.9,28.3,e,USA,"Jan 15, 2024",3474224570793,Glass
Frozen Pizza,HealthyChoice,Beverages,1 cup,100g,119.9939757195082,37.5,22.9,11.1,d,,2024-01-15,4893860653278,plastic
Green Tea,,Beverages,100 grams,100g,280.8844800768446,4.9,8.1,20.1,,Germany,2024-13-45,5921824307767,Plastic
Almond Butter,HealthyChoice,Beverages,about 100g,100ml,880.2798512123217,19.9,7.3,13.6,d,France,2024-01-15,4610197372591,plastic
Dark Chocolate,PureEats,dairy products,100 grams,,,27.0,6.6,4.0,A,United States,2024-13-45,5665082865198,Plastic
Protein Bar,,,100ml,,412.2848237187895,30.8,54.5,9.0,a,France,,9624758022887,
Greek Yogurt,OrganicLife,BEVERAGES,,about 100g,643.8159888194132,29.9,30.3,23.8,b,,01-15-2024,5019608743649,
Green Tea,HealthyChoice,,100ml,about 100g,858.6973406810212,23.7,,,A,FR,,6800618261354,plastic
